sysTime name age sex trialN audioCnd gbrDir gbrPresTime gbrRT gbrACC 
246076590 E124 21 1 25 0 left 48 -1 -1 
246077227 E124 21 1 25 0 left 48 569 1 
246081261 E124 21 1 25 0 left 48 569 1 
246084261 E124 21 1 25 0 left 48 569 1 
246084268 E124 21 1 26 0 right 32 -1 -1 
246085280 E124 21 1 26 0 right 32 -1 -1 
246086435 E124 21 1 26 0 right 32 1104 0 
246089951 E124 21 1 26 0 right 32 1104 0 
246092951 E124 21 1 26 0 right 32 1104 0 
246092958 E124 21 1 27 0 left 16 -1 -1 
246093970 E124 21 1 27 0 left 16 -1 -1 
246094723 E124 21 1 27 0 left 16 718 1 
246099275 E124 21 1 27 0 left 16 718 1 
246102275 E124 21 1 27 0 left 16 718 1 
246102282 E124 21 1 28 0 left 32 -1 -1 
246103293 E124 21 1 28 0 left 32 -1 -1 
246103900 E124 21 1 28 0 left 32 555 1 
246107948 E124 21 1 28 0 left 32 555 1 
246110948 E124 21 1 28 0 left 32 555 1 
246110955 E124 21 1 29 0 left 16 -1 -1 
246111966 E124 21 1 29 0 left 16 -1 -1 
246112819 E124 21 1 29 0 left 16 818 1 
246117188 E124 21 1 29 0 left 16 818 1 
246120188 E124 21 1 29 0 left 16 818 1 
246120194 E124 21 1 30 0 left 64 -1 -1 
246121207 E124 21 1 30 0 left 64 -1 -1 
246121747 E124 21 1 30 0 left 64 455 1 
246125594 E124 21 1 30 0 left 64 455 1 
246128594 E124 21 1 30 0 left 64 455 1 
246128601 E124 21 1 31 0 right 48 -1 -1 
246129613 E124 21 1 31 0 right 48 -1 -1 
246130243 E124 21 1 31 0 right 48 562 1 
246135285 E124 21 1 31 0 right 48 562 1 
246138285 E124 21 1 31 0 right 48 562 1 
246143899 E124 21 1 32 0 right 64 -1 -1 
246144907 E124 21 1 32 0 right 64 -1 -1 
246145419 E124 21 1 32 0 right 64 427 1 
246149178 E124 21 1 32 0 right 64 427 1 
246152178 E124 21 1 32 0 right 64 427 1 
246152185 E124 21 1 33 0 right 16 -1 -1 
246153197 E124 21 1 33 0 right 16 -1 -1 
246153963 E124 21 1 33 0 right 16 731 1 
246166858 E124 21 1 33 0 right 16 731 1 
246169858 E124 21 1 33 0 right 16 731 1 
246169865 E124 21 1 34 0 left 64 -1 -1 
